Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C8, C9",CP_Elec_6.3x7.7,15,100uF/35V,
"C16, C18, C19, C21, C22, C24, C33, C34, C35",0603,9,0.1uF/50V,
C17,0603,1,3.3nF/50V,
"C20, C23",0603,2,4.7uF/25V,
"C25, C26, C32, C36, C37, C44, C46",0603,7,1uF/50V,
"C27, C28, C38, C39, C40, C41, C50, C51",0805,8,10uF/50V,
"C29, C30, C31, C45",0603,4,22uF/16V,
"C42, C43",CP_Radial_D6.3mm_P2.50mm,2,100uF/35V,
C47,2220,1,0.47uF/500V,
D1,D_SMA,1,SMAJ26A,
"D10, D9",D_SMC,2,S10ML-TP,
"D11, D2, D3, D5, D6, D8",LED,6,LED,
D4,LED,1,LED_R,
D7,D_SMA,1,US1M,
J1,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,XT30_Female,
"J2, J4",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,PH_2P,
J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,XT30_Female,
J5,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,PH_7P,
"J6, J7",Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,2,Micro-Fit_3P,
"J8, J9",Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,2,Micro-Fit_2P,
L1,L_Abracon_ASPI-4030S,1,4.7u,
"Q1, Q2",Infineon_PG-TDSON-8_6.15x5.15mm,2,BSC019N06NSATMA1,
Q3,FDS2582(SOIC8),1,FDS2582,
Q4,TO-252-2,1,IPD50R3K0CEAUMA1,
"Q5, Q6",TO-263-2,2,HGT1S10N120BNST,
R1,2512,1,2m/3W,
"R10, R17, R19, R20, R22, R23, R35, R36, R5",0603,9,1k,
"R11, R12, R21",0603,3,20k,
"R13, R15, R16, R3, R40, R6, R9",0603,7,10k,
R14,0603,1,71.5k,
"R18, R39, R41",0603,3,120,
"R2, R4",0603,2,10,
"R24, R34",0603,2,40.2k,
"R25, R26, R27, R28, R30, R31, R32, R33",2512,8,7.5k/3W,
R29,0603,1,18.2k,
R37,0805,1,12m/0.5W,
R38,0603,1,1.15k,
"R7, R8",0603,2,1M,
"SW1, SW2",SW_SKRPACE010,2,SW_Push,
T1,WE-FB3751,1,750032052,
U1,DFN-10-1EP_2x3mm_P0.5mm_EP0.64x2.4mm,1,LTC2955-1,
U10,R-78K12-0.5,1,R-78K12-0.5,
U2,MSOP-12_3x4.039mm_P0.65mm,1,LTC4231-1,
U3,CSTCE12M0G52A-R0,1,CSTNE16M0V530000R0,
U4,SOT-23,1,MCP1703AT,
U5,WSON-12-1EP_3x3mm_P0.5mm_EP1.5x2.5mm,1,LMR51450SDRRR,
U6,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
U8,QFN-20-1EP_LT3751UFD,1,LT3751UFD,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,FAN3227TMX,
