Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",0603,3,10u,
"C10, C11, C2, C7, C9",0603,5,0.1u,
"C12, C3, C5",CP_Elec_6.3x5.4,3,220u,
C8,0805,1,22u,
D1,0603,1,LED,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
J1,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,XT30_Female,
"J2, J3",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,2,XT30,
"J4, J5",Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical,2,MOLEX MINISPOX,
J6,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CAN,C3021286
"PMOS1, PMOS2",TO-252-2,2,TJ60S04M3L,
"R1, R2, R3",0603,3,10k,
SW1,SW_E-Switch_EG1271_SPDT,1,SW_DPST_x2,
"TP1, TP2, TP3",TestPoint_Pad_D1.5mm,3,TestPoint,
U1,CONV_V7805-1000,1,V7805-1000,
U2,SOT-223-3_TabPin2,1,AZ1117CH-3.3TR,
