Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0603,2,4.7u,
"C10, C11, C12, C13, C16, C17, C18, C2, C3, C4, C5, C6, C7, C9",0603,14,0.1u,
"C14, C15",0603,2,1u,
"D1, D10, D11, D13, D14, D2, D3, D7, D8, D9",0603,10,LED,
"D12, D5",D_SOD-123,2,1N4148,
"D4, D6",D_SOD-123,2,1N4148W,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_Via,6,MountingHole_Pad,
J1,raspberreyPi_2_3,1,Raspberry_Pi_2_3,
"J11, J12",JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,2,ADC2,
J13,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Drib,
J14,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,UART,
J15,PinHeader_1x04_P2.54mm_Vertical,1,TFT3,
J16,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CAN_CON,
J2,2816,1,fan,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J5,Molex_SPOX_5268-06A_1x06_P2.50mm_Horizontal,1,MOLEX MINISPOX,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Debug,
J7,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,ADC0,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
Q1,SOT95P240X111-3N,1,NMOS,
"Q2, Q3",SOT-23,2,PMOS,
"R1, R23",0603,2,10k,
R10,0603,1,4.7k,
"R11, R12, R13, R14, R15, R16, R18, R19, R2, R22, R5, R6, R7",0603,13,1k,
R20,0603,1,120,
"R3, R4",0603,2,5.1k,
"R8, R9",0603,2,2.2k,
ROTSW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
SW1,SW_SKRPACE010,1,SW_MEC_5E,
SW2,SW_PUSH_6mm_H7.3mm,1,Ras_1,
SW3,SW_PUSH_6mm_H7.3mm,1,Ras_2,
SW4,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_Wuerth_450301014042,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U3,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
U4,PinHeader_1x08_P2.54mm_Vertical,1,~,
"U5, U6",PinHeader_1x04_P2.54mm_Vertical,2,~,
U7,SOT-223-3_TabPin2,1,AZ1117-3.3,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
Y1,OSC_CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
