Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0603,2,10u,
"C10, C11, C12, C13",0603,4,0.1u,
"C14, C15",0603,2,1u,
C2,0603,1,1000p,
C3,0603,1,1,
C4,0603,1,51p,
C5,CP_Elec_8x6.7,1,150u,
"C6, C7, C8",0603,3,22u,
D1,D_SMA,1,1N4007G,
"D10, D6, D7, D8, D9",0603,5,LED,
F1,0603,1,Fuse,
FB1,0603,1,~,
"J2, J3, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Socket,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Female,
J6,PinHeader_2x07_P2.54mm_Vertical,1,Conn_01x14_Socket,
LT1,MSOP-10_W3mm,1,~,
Q1,tk20a60u,1,tk20a60u,
"R10, R2",0603,2,100k,
"R14, R16, R18, R19",0603,4,1k,
"R17, R21",0603,2,10k,
R3,0603,1,2.49k,
R4,0603,1,30k,
R5,0603,1,42k,
R6,2512,1,10m,
RVTRANS1,0603,1,0,
U1,32052,1,~,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U4,SOIC-8_W3.9mm,1,MAX3051,
U5,SOT25,1,AP2112K-3.3,
