"no","向き","dir","回","指令上限","指令実測","IMU","車輪","比","窓ms","終速度","状態","メモ"
"1","前(+x)","0","1","1.5","1.5","1.1","1.39","0.73","898","1.417","1",""
"2","前(+x)","0","1","2.5","2.5","1.74","2.24","0.7","466","1.358","1",""
"3","後(-x)","1","1","1.5","1.5","1.26","1.4","0.84","904","1.393","1",""
"4","後(-x)","1","1","2.5","2.5","1.93","2.35","0.77","471","1.422","1",""
"5","左(+y)","2","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"6","左(+y)","2","1","2.5","2.5","1.15","1.73","0.46","482","1.073","1",""
"7","右(-y)","3","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"8","右(-y)","3","1","2.5","2.5","1.37","1.87","0.55","495","1.067","1",""
"9","前(+x)","0","1","1.5","1.5","1.05","1.34","0.7","902","1.384","1",""
"10","前(+x)","0","1","2.5","2.5","1.76","2.22","0.7","475","1.346","1",""
"11","後(-x)","1","1","1.5","1.5","1.24","1.39","0.83","907","1.403","1",""
"12","後(-x)","1","1","2.5","2.5","1.91","2.28","0.76","477","1.39","1",""
"13","左(+y)","2","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"14","左(+y)","2","1","2.5","2.5","1.16","1.73","0.46","472","1.045","1",""
"15","右(-y)","3","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"16","右(-y)","3","1","2.5","2.5","1.35","1.86","0.54","498","1.08","1",""
"17","前(+x)","0","2","1.5","1.5","1.03","1.32","0.69","880","1.323","1",""
"18","前(+x)","0","2","2.5","2.5","1.59","2.27","0.64","473","1.394","1",""
"19","後(-x)","1","2","1.5","1.5","1.27","1.35","0.85","882","1.361","1",""
"20","後(-x)","1","2","2.5","2.5","1.94","2.3","0.78","470","1.432","1",""
"21","左(+y)","2","2","1.5","1.5","0.67","0.96","0.45","929","0.954","1",""
"22","左(+y)","2","2","2.5","2.5","1.19","1.78","0.48","474","1.07","1",""
"23","右(-y)","3","2","1.5","1.5","0.86","0.93","0.57","910","0.889","1",""
"24","右(-y)","3","2","2.5","2.5","1.3","1.85","0.52","479","1.093","1",""
"25","前(+x)","0","2","1.5","1.5","1.07","1.29","0.71","899","1.276","1",""
"26","前(+x)","0","2","2.5","2.5","1.69","2.47","0.68","475","1.437","1",""
"27","後(-x)","1","2","1.5","1.5","1.25","1.37","0.83","904","1.341","1",""
"28","後(-x)","1","2","2.5","2.5","1.96","2.28","0.78","470","1.359","1",""
"29","左(+y)","2","2","1.5","1.5","0.66","0.98","0.44","911","1.013","1",""
"30","左(+y)","2","2","2.5","2.5","1.12","1.77","0.45","472","0.983","1",""
"31","右(-y)","3","2","1.5","1.5","0.82","0.92","0.55","919","0.897","1",""
"32","右(-y)","3","2","2.5","2.5","1.26","1.88","0.5","470","1.003","1",""
